Time: 7:38 am, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 2
Time: 7:45 am, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 7:53 am, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 3
Time: 9:36 am, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 9:54 am, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 2
Time: 10:03 am, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 12:18 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 1
Time: 12:36 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 2
Time: 12:54 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 2
Time: 1:12 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 2
Time: 1:39 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 1
Time: 1:48 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 1:57 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 2:06 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 2:15 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 2
Time: 2:24 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 2:33 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 2:42 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 2:51 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 3:09 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
Time: 3:18 pm, Date: 01/09/2025, Holes: 18 (Front), Course: Charleston Municipal, Open Slots: 4
